TCP_Session,Packet_Count
192.168.100.129:42942 -> 192.168.100.128:80,6
192.168.100.128:80 -> 192.168.100.129:42942,6
192.168.100.129:42956 -> 192.168.100.128:80,2
192.168.100.128:80 -> 192.168.100.129:42956,1
